Class,Label,Accuracy,F1 Score,Precision,Recall,Positive Rate,Non-Zero Rate
240,Red-bellied Woodpecker,0.754428480757025,0.6760541939412391,0.594590976034275,0.7833833127535721,0.32710174,0.327389814077485
241,Red-breasted Merganser,0.7495816744561767,0.1582622187742436,0.08679004467134652,0.8967032967032967,0.026253534,0.026460201502613995
242,Red-breasted Nuthatch,0.7073452195487854,0.03353658536585366,0.017224505774124096,0.6330935251798561,0.008020311,0.00894124571547277
243,Red-cockaded Woodpecker,0.995268593849172,0.0,0.0,0.0,0.0045583057,0.0048211750856905445
244,Red-eyed Vireo,0.7430038659050257,0.22350069735006972,0.13052331500712686,0.776969696969697,0.04760256,0.04892151092338053
245,Red-headed Woodpecker,0.684034389244706,0.1427676894176581,0.07918041326619205,0.724960254372019,0.036293346,0.03740089325901049
246,Red-necked Grebe,0.99994229992499,0.0,0.0,0.0,5.7700076e-05,0.00010386732680123256
247,Red-necked Phalarope,0.9997691996999596,0.0,0.0,0.0,0.0002308003,0.00014714537963507945
248,Red-shouldered Hawk,0.7268478449021983,0.2676361386138614,0.1627469426152399,0.752828546562228,0.06629739,0.06695980334452792
249,Red-tailed Hawk,0.6933818013963419,0.1766346451812829,0.10244428468727534,0.6404494382022472,0.051353067,0.05041027594086487
250,Red-winged Blackbird,0.7161733310253303,0.5609995537706381,0.46445987882370326,0.7082018927444795,0.25607294,0.25721012360211887
